titulo,nota,tipo de nota,diretor,generos
Dinheiro Fácil,6.706,0 a 10,Craig Gillespie,"História, Comédia, Drama"
Dinheiro Sujo,6.338,0 a 10,Keith Samples,"Ação, Crime, Thriller"
Dinossauro,6.533,0 a 10,Ralph Zondag,"Animação, Família, Aventura"
Diretamente de Lugar Nenhum: Scooby-Doo! Encontra Coragem,7.766,0 a 10,Cecilia Aranovich,"Animação, Comédia, Mistério, Família, Fantasia"
Dirty Dancing: Ritmo Quente,7.3,0 a 10,Emile Ardolino,"Drama, Música, Romance"
Dirty Deeds,5.644,0 a 10,David Kendall,Comédia
Dirty Harry na Lista Negra,6.266,0 a 10,Buddy Van Horn,"Ação, Crime, Thriller"
Dirty Ice Cream,3.0,0 a 10,Mervyn Brondial,Drama
Dirty Love: Dando o Troco,4.4,0 a 10,John Asher,"Comédia, Romance"
"Disco, Ibiza, Locomía",6.9,0 a 10,Kike Maíllo,"Drama, Música"
Disque M para Matar,8.015,0 a 10,Alfred Hitchcock,"Thriller, Crime"
Distrito 9,7.448,0 a 10,Neill Blomkamp,Ficção científica
Dit is geen kerstfilm,0.0,0 a 10,Michael Middelkoop,Comédia
Divergente,6.917,0 a 10,Neil Burger,"Ação, Aventura, Ficção científica"
Diversão Macabra,5.636,0 a 10,John Simpson,"Terror, Mistério"
Divertida Mente,4.5,0 a 10, Pete Docter,"Animação, Família, Aventura, Comédia, Fantasia"
Divertida Mente 2,7.669,0 a 10,Kelsey Mann,"Animação, Família, Aventura, Comédia, Fantasia"
Divisão de Homicídios,5.222,0 a 10,Ron Shelton,"Ação, Aventura, Comédia, Thriller"
"Divórcio em Família, por Tyler Perry",6.9,0 a 10,Tyler Perry,"Drama, Thriller"
Diário De Uma Louca,6.6,0 a 10,Darren Grant,"Drama, Romance, Comédia"
Diário Proibido,5.6,0 a 10,Christian Molina,"Drama, Romance"
Diário de um Adolescente,7.396,0 a 10,Scott Kalvert,"Drama, Crime"
Diário de um Banana,6.2,0 a 10,Thor Freudenthal,"Comédia, Família"
Diário de um Banana 2: Rodrick é o Cara,6.652,0 a 10,David Bowers,"Família, Comédia"
Diário de um Banana 3: Dias de Cão,6.307,0 a 10,David Bowers,"Comédia, Família"
Diário de um Banana no Natal: Casa dos Horrores,6.8,0 a 10,Luke Cormican,"Animação, Comédia, Família"
Diário de um Banana: Caindo na Estrada,5.31,0 a 10,David Bowers,"Comédia, Família"
Diário de uma Adolescente,5.7,0 a 10,Paul Hoen,"Família, Comédia, Drama, Cinema TV"
Diário de uma Paixão,7.89,0 a 10,Nick Cassavetes,"Romance, Drama"
Diário dos Mortos,5.565,0 a 10,George A. Romero,Terror
Diários de Motocicleta,7.4,0 a 10,Walter Salles,Drama
Django,7.2,0 a 10,Sergio Corbucci,"Ação, Faroeste"
Django Livre,4.6,0 a 10,Quentin Tarantino,"Drama, Faroeste"
Do Além,5.6,0 a 10,Phedon Papamichael,"Terror, Mistério, Thriller"
Do Coração,6.9,0 a 10,Mani Ratnam,"Drama, Romance"
Do Fundo do Mar,5.979,0 a 10,Renny Harlin,"Ação, Terror, Ficção científica"
Do Outro Lado da Linha,6.5,0 a 10,James Dodson,"Comédia, Romance"
Do Outro Lado da Porta,5.567,0 a 10,Johannes Roberts,"Thriller, Terror"
Do Que as Mulheres Gostam,6.448,0 a 10,Nancy Meyers,"Comédia, Romance"
Do Que os Homens Gostam,6.177,0 a 10,Adam Shankman,"Comédia, Romance"
Dobermann,6.503,0 a 10,Jan Kounen,"Ação, Crime"
Doce Lar,6.404,0 a 10,Andy Tennant,"Comédia, Romance"
Doce Novembro,6.9,0 a 10,Pat O'Connor,"Drama, Romance"
Doce Trapaça,6.093,0 a 10,David Mirkin,"Comédia, Romance, Crime"
Doce Veneno,5.834,0 a 10,Jean-François Richet,"Drama, Romance"
Doce Vingança,6.507,0 a 10,Steven R. Monroe,"Thriller, Crime, Terror"
Doce Vingança 2,6.29,0 a 10,Steven R. Monroe,"Thriller, Terror, Crime"
Doce Vingança 3: A Vingança é Minha,5.75,0 a 10,R.D. Braunstein,"Terror, Thriller"
Doce e Sangrento,6.9,0 a 10,Lokesh Kanagaraj,"Ação, Crime, Thriller"
Doces Encontros,5.5,0 a 10,Mary Stuart Masterson,"Drama, Romance"
Doctor Who,6.188,0 a 10,Geoffrey Sax,"Cinema TV, Aventura, Ficção científica"
Doctor Who: O Dia do Doutor,8.191,0 a 10,Nick Hurran,"Ficção científica, Aventura"
Does That Make Me A Woman?,0.0,0 a 10,Bec Evans,
Dog - A Aventura de Uma Vida,7.32,0 a 10,Channing Tatum,"Drama, Comédia"
Dog Soldiers - Cães de Caça,6.715,0 a 10,Neil Marshall,"Terror, Ação, Thriller"
Dogma,6.92,0 a 10,Kevin Smith,"Fantasia, Comédia, Aventura"
Dogman,7.537,0 a 10,Matteo Garrone,"Crime, Drama, Thriller"
Dogville,7.8,0 a 10,Lars von Trier,"Crime, Drama, Thriller"
Doido para Brigar... Louco para Amar,6.128,0 a 10,James Fargo,"Ação, Comédia, Aventura, Romance, Drama"
Dois Caras Legais,7.118,0 a 10,Shane Black,"Comédia, Crime, Ação"
Dois Doidões em Harvard,6.301,0 a 10,Jesse Dylan,Comédia
Dois Irmãos: Uma Jornada Fantástica,7.688,0 a 10,Dan Scanlon,"Família, Animação, Aventura, Comédia, Fantasia"
Dois Lados do Amor,6.188,0 a 10,Ned Benson,Drama
Dois Papas,7.499,0 a 10,Fernando Meirelles,"Drama, História"
Dois Parceiros em Apuros,5.6,0 a 10,Martha Coolidge,"Comédia, Romance"
Dois Policiais em Apuros,6.041,0 a 10,Peter Hyams,"Ação, Comédia, Crime"
Dois Tiras Fora de Ordem,6.964,0 a 10,Enzo Barboni,"Ação, Comédia"
Dois Velhos Mais Rabugentos,6.5,0 a 10,Howard Deutch,"Romance, Comédia"
Dois Velhos Rabugentos,6.6,0 a 10,Donald Petrie,Comédia
"Dois é Bom, Três é Demais",5.602,0 a 10,Anthony Russo,"Comédia, Romance"
Dolce... calda Lisa,4.8,0 a 10,Adriano Tagliavia,Drama
Domínio: Prequela do Exorcista,5.377,0 a 10,Paul Schrader,"Terror, Thriller, Drama"
Don Juan DeMarco,6.7,0 a 10,Jeremy Leven,"Romance, Drama, Comédia"
Don't Look Away,4.804,0 a 10,Michael Bafaro,"Terror, Thriller"
Don't Look at the Demon,6.8,0 a 10,Brando Lee,Terror
Don't Sell My Baby,6.375,0 a 10,Roxanne Boisvert,"Cinema TV, Thriller"
Donnie Brasco,7.54,0 a 10,Mike Newell,"Crime, Drama, Thriller"
Donnie Darko,4.4,0 a 10,Richard Kelly,"Fantasia, Drama, Mistério"
Donzela,7.073,0 a 10,Juan Carlos Fresnadillo,"Fantasia, Ação, Aventura"
Don’t Look Up: Não Olhe Para Cima,4.1,0 a 10, Adam McKay,"Comédia, Ficção científica, Drama"
Doom: A Porta do Inferno,5.141,0 a 10,Andrzej Bartkowiak,"Ação, Terror, Ficção científica"
Doom: Geração Maldita,6.418,0 a 10,Gregg Araki,"Comédia, Crime, Drama"
Door II: Tôkyô Diary,6.4,0 a 10,Banmei Takahashi,"Thriller, Romance"
Dora e a Cidade Perdida,6.655,0 a 10,James Bobin,"Aventura, Comédia, Família, Fantasia"
Dora: Diga Hello para a Aventura,7.444,0 a 10,Don Kim,"Animação, Família"
Doraemon the Movie: Ilha do Tesouro de Nobita,7.227,0 a 10,Kazuaki Imai,"Animação, Aventura, Fantasia, Ficção científica, Comédia, Família"
Dormindo com o Inimigo,6.5,0 a 10,Joseph Ruben,"Drama, Crime, Thriller"
Dose Dupla,6.541,0 a 10,Baltasar Kormákur,"Ação, Comédia, Crime"
Dottie Vs The Future,0.0,0 a 10,DatOneHugoFan,"Animação, Família, Comédia, Drama"
Dou-lhes um Ano,5.522,0 a 10,Dan Mazer,"Comédia, Romance"
Doug: O Filme,5.5,0 a 10,Maurice Joyce,"Animação, Família, Comédia"
Doutor Estranho,7.425,0 a 10,Scott Derrickson,"Ação, Aventura, Fantasia"
Doutor Estranho no Multiverso da Loucura,7.287,0 a 10,Sam Raimi,"Fantasia, Ação, Aventura"
Doutor Jivago,7.5,0 a 10,David Lean,"Drama, Romance, Guerra"
Doutor Sono,7.15,0 a 10,Mike Flanagan,"Terror, Thriller, Fantasia"
Downton Abbey,7.147,0 a 10,Michael Engler,"Drama, Romance, História"
Downton Abbey II: Uma Nova Era,7.2,0 a 10,Simon Curtis,"Drama, Romance, História, Mistério"
Downtown Owl: Uma Nova Vida,5.613,0 a 10,Hamish Linklater,"Comédia, Drama"
Doze Homens e Outro Segredo,6.568,0 a 10,Steven Soderbergh,"Thriller, Crime"
Doze é Demais,6.29,0 a 10,Shawn Levy,"Comédia, Família"
Doze é Demais 2,6.163,0 a 10,Adam Shankman,"Comédia, Família, Aventura"
Dr. Dolittle,5.707,0 a 10,Betty Thomas,"Comédia, Família, Fantasia"
Dr. Dolittle 2,5.309,0 a 10,Steve Carr,"Comédia, Família, Romance, Fantasia"
Dr. Dolittle 3,5.1,0 a 10,Rich Thorne,"Comédia, Família, Fantasia"
Dr. Fantástico,8.118,0 a 10,Stanley Kubrick,"Comédia, Guerra"
Dracula 3000,2.771,0 a 10,Darrell James Roodt,"Terror, Ficção científica"
Dracula 3D,3.398,0 a 10,Dario Argento,Terror
Dracula: A História Nunca Contada,6.4,0 a 10,Gary Shore,"Terror, Ação, Fantasia"
Drag is for Everyone,0.0,0 a 10,David Ng,
Dragon Ball GT: O Legado de um Herói,6.8,0 a 10,Osamu Kasai,"Aventura, Ação, Animação, Ficção científica"
Dragon Ball Super: Super Hero,7.898,0 a 10,Tetsuro Kodama,"Animação, Ficção científica, Ação"
Dragon Ball Z: A Batalha dos Deuses,6.791,0 a 10,Masahiro Hosoda,"Animação, Ação, Ficção científica"
Dragon Ball Z: A Batalha nos Dois Mundos,7.077,0 a 10,Yoshihiro Ueda,"Ação, Animação, Ficção científica"
Dragon Ball Z: A Árvore do Poder,6.471,0 a 10,Daisuke Nishio,"Ação, Animação, Ficção científica"
"Dragon Ball Z: Bardock, O Pai de Goku",7.5,0 a 10,Mitsuo Hashimoto,"Animação, Ação, Ficção científica, Drama, Fantasia"
Dragon Ball Z: Devolva-me Gohan,6.738,0 a 10,Daisuke Nishio,"Animação, Ação, Fantasia"
"Dragon Ball Z: Gohan e Trunks, os Guerreiros do Futuro",7.566,0 a 10,Yoshihiro Ueda,"Animação, Ação, Ficção científica"
"Dragon Ball Z: Goku, o Super Saiyajin",6.433,0 a 10,Mitsuo Hashimoto,"Ação, Animação, Ficção científica"
Dragon Ball Z: O Ataque do Dragão,7.258,0 a 10,Mitsuo Hashimoto,"Animação, Ação, Ficção científica"
Dragon Ball Z: O Combate Final - Bio-Broly,5.723,0 a 10,Yoshihiro Ueda,"Animação, Ação, Ficção científica"
Dragon Ball Z: O Homem Mais Forte do Mundo,6.498,0 a 10,Daisuke Nishio,"Ação, Animação, Ficção científica"
Dragon Ball Z: O Plano Para Erradicar os Saiyajins,7.1,0 a 10,Yoshihiro Ueda,"Ação, Animação, Aventura"
Dragon Ball Z: O Poder Invencível,7.209,0 a 10,Shigeyasu Yamauchi,"Animação, Ficção científica, Ação"
Dragon Ball Z: O Renascimento de Freeza,6.835,0 a 10,Tadayoshi Yamamuro,"Ação, Animação, Ficção científica"
Dragon Ball Z: O Retorno de Cooler,6.429,0 a 10,Daisuke Nishio,"Ação, Animação, Ficção científica"
Dragon Ball Z: O Retorno do Guerreiro Lendário,6.719,0 a 10,Shigeyasu Yamauchi,"Animação, Ação, Ficção científica"
Dragon Ball Z: O Retorno dos Andróides,6.845,0 a 10,Daisuke Nishio,"Ação, Animação, Ficção científica"
Dragon Ball Z: Uma Nova Fusão,7.509,0 a 10,Shigeyasu Yamauchi,"Animação, Ação, Fantasia, Ficção científica"
Dragon Ball Z: Uma Vingança Para Freeza,7.0,0 a 10,Mitsuo Hashimoto,"Ação, Animação, Ficção científica"
Dragon Ball Z: Yo! O Retorno de Son Goku e seus Amigos!,6.371,0 a 10,Yoshihiro Ueda,"Animação, Ação, Aventura, Ficção científica"
Dragon Ball: A Bela Adormecida no Castelo do Diabo,6.6,0 a 10,Daisuke Nishio,"Ação, Animação, Fantasia, Terror"
Dragon Ball: A Lenda de Shenlong,6.8,0 a 10,Daisuke Nishio,"Ação, Animação, Aventura, Comédia, Fantasia, Ficção científica"
Dragon Ball: Episódio de Bardock,6.9,0 a 10,Yoshihiro Ueda,"Ação, Animação, Ficção científica"
Dragon Ball: Uma Aventura Mística,6.8,0 a 10,Kazuhisa Takenouchi,"Ação, Animação"
Dragon Tiger Gate,6.617,0 a 10,Wilson Yip,"Ação, Thriller"
Dragonball Evolution,2.896,0 a 10,James Wong,"Ação, Aventura, Fantasia, Ficção científica, Thriller"
Dragão: A História de Bruce Lee,6.887,0 a 10,Rob Cohen,"Drama, História, Ação"
Dragões - A Origem das Corridas de Dragão,7.2,0 a 10,Elaine Bogan,"Animação, Família, Aventura, Comédia, Fantasia"
Dragões da Violência,6.5,0 a 10,Samuel Fuller,Faroeste
Dragões em Dose Dupla,6.74,0 a 10,Ringo Lam,"Comédia, Ação"
Dragões: O Presente do Fúria da Noite,7.164,0 a 10,Tom Owens,"Animação, Comédia, Aventura, Família"
Dream Lover,5.9,0 a 10,Nicholas Kazan,"Drama, Mistério, Thriller"
Dreamgirls: Em Busca de um Sonho,6.749,0 a 10,Bill Condon,"Drama, Música"
Dredd: O Juiz do Apocalipse,6.831,0 a 10,Pete Travis,"Ação, Ficção científica"
Driblando o Destino,6.309,0 a 10,Gurinder Chadha,"Comédia, Drama, Romance"
Drifter,5.714,0 a 10,Hannes Hirsch,Drama
Drifting Home,7.4,0 a 10,Hiroyasu Ishida,"Animação, Fantasia, Aventura"
Drive,7.581,0 a 10,Nicolas Winding Refn,"Drama, Thriller, Crime"
Drive My Car,7.412,0 a 10,Ryūsuke Hamaguchi,Drama
Drugstore Cowboy,7.087,0 a 10,Gus Van Sant,"Drama, Crime"
Druk: Mais uma Rodada,7.643,0 a 10,Thomas Vinterberg,"Comédia, Drama"
Drużyna A(A),0.0,0 a 10,Daniel Jaroszek,"Drama, Comédia"
Drácula,7.163,0 a 10,Tod Browning,Terror
Drácula 2000,5.258,0 a 10,Patrick Lussier,"Thriller, Terror, Ação, Fantasia"
Drácula de Bram Stoker,7.45,0 a 10,Francis Ford Coppola,"Romance, Terror"
Drácula – Ele Ainda Está Vivo,5.189,0 a 10,Maximilian Elfeldt,"Terror, Fantasia, Thriller"
Drácula: A Última Viagem do Deméter,6.9,0 a 10,André Øvredal,"Terror, Thriller, Fantasia"
"Drácula: Morto, mas Feliz",6.075,0 a 10,Mel Brooks,"Comédia, Terror"
Drácula: O Príncipe das Trevas,6.7,0 a 10,Terence Fisher,Terror
Duas Garotas Românticas,7.7,0 a 10,Jacques Demy,"Romance, Comédia, Drama"
Duas Mulheres,7.837,0 a 10,Vittorio De Sica,"Drama, Guerra"
Duas Rainhas,6.568,0 a 10,Josie Rourke,"Drama, História"
Duas Vidas,6.719,0 a 10,Jon Turteltaub,"Fantasia, Comédia, Família"
Dublê de Anjo,7.6,0 a 10,Tarsem Singh,"Aventura, Fantasia, Drama"
Dublê de Corpo,6.759,0 a 10,Brian De Palma,"Crime, Mistério, Thriller"
Duchess,5.8,0 a 10,Neil Marshall,"Ação, Crime, Thriller"
"DuckTales, O Filme: O Tesouro da Lâmpada Perdida",6.7,0 a 10,Bob Hathcock,"Aventura, Animação, Família, Comédia, Fantasia"
Duelo de Irmãos – A História de Adidas e Puma,7.058,0 a 10,Oliver Dommenget,Drama
Duelo de Titãs,7.629,0 a 10,Boaz Yakin,Drama
Duma,7.3,0 a 10,Carroll Ballard,"Aventura, Drama, Família"
Dumbo,7.005,0 a 10,Ben Sharpsteen,"Animação, Família"
Dumplin',6.793,0 a 10,Anne Fletcher,"Comédia, Drama"
Duna,4.8,0 a 10, Denis Villeneuve,"Ficção científica, Aventura"
Duna: Parte Dois,4.5,0 a 10, Denis Villeneuve,"Ficção científica, Aventura"
Duna: Parte Três,4.8,0 a 10, Denis Villeneuve,"Ficção científica, Aventura"
Dungeons & Dragons 2: O Poder Maior,4.5,0 a 10,Gerry Lively,"Ação, Aventura, Fantasia, Cinema TV"
Dungeons & Dragons: A Aventura Começa Agora,4.372,0 a 10,Courtney Solomon,"Drama, Aventura, Fantasia"
Dungeons & Dragons: Honra Entre Rebeldes,4.1,0 a 10, Jonathan Goldstein & John Francis Daley,"Aventura, Fantasia, Comédia"
Dungeons & Dragons: Nova Aventura,4.1,0 a 10, Jonathan Goldstein & John Francis Daley,"Aventura, Fantasia, Comédia"
Dunkirk,4.7,0 a 10, Christopher Nolan,"Guerra, Ação, Drama"
Dupla Explosiva,6.895,0 a 10,Patrick Hughes,"Ação, Comédia, Crime, Thriller"
Dupla Explosiva 2: E a Primeira-Dama do Crime,6.7,0 a 10,Patrick Hughes,"Ação, Comédia, Crime, Thriller"
Dupla Implacável,6.3,0 a 10,Pierre Morel,"Ação, Crime, Thriller"
Dupla Jornada,6.793,0 a 10,J.J. Perry,"Ação, Fantasia, Terror, Comédia"
Duplicidade,5.9,0 a 10,Tony Gilroy,"Romance, Comédia, Crime"
Duplo Impacto,6.12,0 a 10,Sheldon Lettich,"Thriller, Ação, Crime, Drama"
Durante a Tormenta,7.47,0 a 10,Oriol Paulo,"Thriller, Drama, Mistério, Fantasia"
Duro Aprendizado,6.339,0 a 10,John Singleton,"Drama, Crime"
Duro de Atuar,5.976,0 a 10,Eric Appel,"Comédia, Ação, Thriller"
Duro de Espiar,5.383,0 a 10,Rick Friedberg,"Comédia, Ação"
Duro de Matar,7.791,0 a 10,John McTiernan,"Ação, Thriller"
Duro de Matar 2,6.952,0 a 10,Renny Harlin,"Ação, Thriller"
Duro de Matar 3: A Vingança,7.269,0 a 10,John McTiernan,"Ação, Thriller"
Duro de Matar 4.0,6.622,0 a 10,Len Wiseman,"Ação, Thriller"
Duro de Matar: Um Bom Dia para Morrer,5.335,0 a 10,John Moore,"Ação, Thriller"
Dynasty Warriors,5.966,0 a 10,Roy Chow Hin-Yeung,"Ação, Aventura, Fantasia"
Déjà Vu,6.864,0 a 10,Tony Scott,"Ação, Thriller, Ficção científica"
Dìdi (弟弟),7.2,0 a 10,Sean Wang,"Comédia, Drama"
Dívida Perigosa,6.193,0 a 10,Martin Zandvliet,"Crime, Drama, Mistério"
Dívida de Sangue,6.3,0 a 10,Elliot Silverstein,"Faroeste, Comédia"
"E Agora, Meu Amor?",6.415,0 a 10,Andy Tennant,"Comédia, Drama, Romance"
"E Aí, Meu Irmão, Cadê Você?",7.33,0 a 10,Joel Coen,"Aventura, Comédia, Crime"
E Deus Criou a Mulher,6.122,0 a 10,Roger Vadim,"Drama, Romance"
E N V O Y,6.46,0 a 10,David Weinstein,Ficção científica
E Se Fosse Verdade,6.946,0 a 10,Mark Waters,"Drama, Comédia, Romance, Fantasia"
E Sua Mãe Também,7.418,0 a 10,Alfonso Cuarón,"Drama, Romance"
E.T.: O Extraterrestre,7.519,0 a 10,Steven Spielberg,"Ficção científica, Aventura, Família, Fantasia"
EKS,2.0,0 a 10,Roman Perez Jr.,Drama
EO,6.505,0 a 10,Jerzy Skolimowski,"Drama, Aventura"
Early Birds,6.1,0 a 10,Michael Steiner,Thriller
Eclipse Total,7.245,0 a 10,Taylor Hackford,"Crime, Drama, Mistério"
Ecos do Além,6.68,0 a 10,David Koepp,"Terror, Mistério, Thriller"
Ed TV,6.0,0 a 10,Ron Howard,Comédia
Eddie Murphy - Sem Censura,7.256,0 a 10,Robert Townsend,Comédia
Eden,0.0,0 a 10,Ron Howard,"Thriller, Drama"
Edward Mãos de Tesoura,4.5,0 a 10, Tim Burton,"Fantasia, Drama, Romance"
Efeito Borboleta,4.2,0 a 10,Eric Bress,"Ficção científica, Thriller"
Efeito Borboleta 2,4.944,0 a 10,John R. Leonetti,"Drama, Ficção científica, Thriller"
Efeito Borboleta: Revelação,5.477,0 a 10,Seth Grossman,"Ficção científica, Thriller, Drama, Crime"
Efeito Colateral,5.76,0 a 10,Andrew Davis,"Ação, Thriller, Drama"
Efeito Dominó,6.829,0 a 10,Roger Donaldson,"Thriller, Crime, Drama"
Efeito Paradoxo,5.857,0 a 10,Scott Weintrob,"Ação, Thriller"
Ei Arnold! Na Selva: O Filme,7.58,0 a 10,Raymie Muzquiz,"Família, Comédia, Animação, Aventura, Cinema TV"
Ei kiitos,4.9,0 a 10,Samuli Valkama,"Drama, Comédia"
Eine Armee Gretchen,5.173,0 a 10,Erwin C. Dietrich,"Drama, Guerra"
Eine Million Minuten,6.7,0 a 10,Christopher Doll,"Drama, Família"
Einstein e a Bomba,6.023,0 a 10,Anthony Philipson,"Documentário, Drama"
El Apocalipsis de san Juan,0.0,0 a 10,Patricio Dondo,
El Camino: A Breaking Bad Film,6.96,0 a 10,Vince Gilligan,"Crime, Drama, Thriller"
El Cid,6.858,0 a 10,Anthony Mann,"Ação, Drama, História, Romance, Guerra"
El Dorado,7.35,0 a 10,Howard Hawks,Faroeste
El Día de los Albañiles,5.7,0 a 10,Adolfo Martínez Solares,Comédia
El Halcón: Sed de Venganza,8.2,0 a 10,Eduardo Valenzuela,"Ação, Aventura, Comédia"
El Padrino II: Border Intrusion,6.2,0 a 10,Damian Chapa,Crime
El Roomie,7.733,0 a 10,Pedro Pablo Ibarra,Comédia
El aroma del pasto recién cortado,0.0,0 a 10,Celina Murga,Drama
El aspirante,0.0,0 a 10,Juan Gautier,"Drama, Thriller"
El candidato honesto,5.1,0 a 10,Pipe Ybarra,Comédia
El carnaval de las bestias,6.133,0 a 10,Paul Naschy,"Crime, Terror"
El caso Sancho: Episodio cero,9.0,0 a 10,Margarita Luis,Documentário
El duelo,6.1,0 a 10,Augusto Tejada,"Ação, Comédia, Crime"
El eco,7.0,0 a 10,Tatiana Huezo,Documentário
El fuego que hemos construido,4.0,0 a 10,Luis Fontal,
El hombre del saco,6.232,0 a 10,Ángel Gómez Hernández,"Terror, Aventura"
El hombre que amaba los platos voladores,0.0,0 a 10,Diego Lerman,"Drama, Comédia"
El juego de las llaves,5.892,0 a 10,Vicente Villanueva,Comédia
El reinado de Antoine,0.0,0 a 10,José Luis Jiménez,Drama
El salto,6.0,0 a 10,Benito Zambrano,Drama
El tercer paisaje,0.0,0 a 10,Julen Etxebarria,Drama
Ela,7.856,0 a 10,Spike Jonze,"Romance, Ficção científica, Drama"
"Ela Dança, Eu Danço",6.875,0 a 10,Anne Fletcher,"Música, Drama, Romance, Crime"
"Ela Dança, Eu Danço 2",6.693,0 a 10,Jon M. Chu,"Música, Drama, Romance"
"Ela Dança, Eu Danço 3",6.817,0 a 10,Jon M. Chu,"Drama, Romance"
"Ela Dança, Eu Danço 4",6.92,0 a 10,Scott Speer,"Música, Drama, Romance"
"Ela Dança, Eu Danço 5: Tudo ou Nada",6.837,0 a 10,Trish Sie,"Romance, Drama, Música"
Ela Disse,7.248,0 a 10,Maria Schrader,"Drama, História"
Ela e os Caras,6.464,0 a 10,Joe Nussbaum,Comédia
Ela é Demais,6.318,0 a 10,Robert Iscove,"Comédia, Romance"
Ela é Demais para Mim,6.5,0 a 10,Jim Field Smith,"Romance, Comédia"
Ela é a Poderosa,6.002,0 a 10,Garry Marshall,"Drama, Comédia, Romance"
Ela é o Cara,6.806,0 a 10,Andy Fickman,"Comédia, Romance"
Ele Está de Volta,6.786,0 a 10,David Wnendt,Comédia
Ele Não Está Tão a Fim de Você,6.554,0 a 10,Ken Kwapis,"Comédia, Romance, Drama"
Ele é Demais,6.5,0 a 10,Mark Waters,"Comédia, Romance"
Elefante,7.062,0 a 10,Gus Van Sant,"Crime, Drama"
Eleição,7.087,0 a 10,Johnnie To,"Crime, Drama, Thriller"
Elektra,5.042,0 a 10,Rob Bowman,"Ação, Fantasia, Aventura"
Eles São Meus,5.2,0 a 10,Mac Alejandre,Drama
Eles Vivem,7.294,0 a 10,John Carpenter,"Ficção científica, Ação"
Elfy: O Duende que Caiu do Céu,6.337,0 a 10,Brian Cosgrove,"Animação, Família, Fantasia"
Eli,6.006,0 a 10,Ciarán Foy,Terror
Elio,0.0,0 a 10,Domee Shi,"Animação, Família, Aventura, Ficção científica, Comédia"
Elizabeth,7.169,0 a 10,Shekhar Kapur,"Drama, História"
Elizabeth Taylor - As Fitas Perdidas,7.2,0 a 10,Nanette Burstein,Documentário
Elizabeth: A Era de Ouro,6.72,0 a 10,Shekhar Kapur,"Drama, História, Romance"
Elskling,0.0,0 a 10,Lilja Ingolfsdottir,Drama
Elvira: a Rainha das Trevas,6.6,0 a 10,James Signorelli,"Comédia, Fantasia, Terror"
Elvis,4.4,0 a 10, Baz Luhrmann,"Drama, Música, História"
Elysium,6.51,0 a 10,Neill Blomkamp,"Ficção científica, Ação, Drama, Thriller"
Em Algum Lugar do Passado,7.509,0 a 10,Jeannot Szwarc,"Drama, Fantasia, Romance"
Em Busca da Fama,5.78,0 a 10,Joshua Caldwell,Crime
Em Busca da Terra do Nunca,4.1,0 a 10,Marc Forster,"Drama, Fantasia"
Em Busca de Vingança,5.744,0 a 10,Elliott Lester,"Drama, Thriller"
Em Busca do Bilhete Premiado,6.8,0 a 10,Prueksa Amaruji,"Crime, Comédia"
Em Busca do Prazer,5.2,0 a 10,Billy Kent,"Comédia, Romance"
Em Busca do Vale Encantado,7.14,0 a 10,Don Bluth,"Família, Animação, Aventura"
Em Busca do Vale Encantado II: A Grande Aventura do Vale,6.3,0 a 10,Roy Allen Smith,"Animação, Aventura, Família"
Em Busca do Vale Encantado V: A Ilha Misteriosa,6.2,0 a 10,Charles Grosvenor,"Animação, Família, Aventura"
Em Busca do Vale Encantado VI: O Segredo do Rochedo,6.1,0 a 10,Charles Grosvenor,"Animação, Aventura, Família"
Em Busca do Vale Encantado X: A Grande Migração,6.3,0 a 10,Charles Grosvenor,"Animação, Aventura, Família"
Em Busca do Vale Encantado XIV: A Jornada dos Valentes,6.832,0 a 10,Tony Tupilano,"Animação, Aventura, Família"
Em Chamas,7.392,0 a 10,Lee Chang-dong,"Mistério, Drama, Thriller"
Em Defesa de Cristo,6.824,0 a 10,Jon Gunn,Drama
Em Guerra com o Vovô,6.445,0 a 10,Tim Hill,"Comédia, Família"
Em Nome da Honra,6.928,0 a 10,Wong Jing,"Ação, Comédia, Aventura"
Em Nome do Pai,7.905,0 a 10,Jim Sheridan,Drama
Em Nome do Rei,4.719,0 a 10,Uwe Boll,"Aventura, Fantasia, Ação, Drama"
Em Pedaços,6.907,0 a 10,Fatih Akin,"Drama, Crime"
Em Pé de Guerra,5.1,0 a 10,Craig Gillespie,"Comédia, Romance"
Em Ritmo de Fuga,7.452,0 a 10,Edgar Wright,"Ação, Crime"
Em Ruínas,6.717,0 a 10,Heo Myeong-haeng,"Ficção científica, Ação"
Em Segredo,6.2,0 a 10,Charlie Stratton,"Drama, Thriller, Crime, Romance"
Em Seu Lugar,6.174,0 a 10,Curtis Hanson,"Comédia, Drama, Romance"
Em Silêncio,8.163,0 a 10,Hwang Dong-hyuk,Drama
Em Terreno Selvagem,5.142,0 a 10,Steven Seagal,Ação
Em Uma Ilha Bem Distante,6.614,0 a 10,Vanessa Jopp,"Romance, Comédia"
Em um Bairro de Nova York,7.193,0 a 10,Jon M. Chu,"Drama, Romance"
Em uma Terra Muito Distante… Havia um Crime,6.3,0 a 10,Yuichi Fukuda,"Fantasia, Comédia, Crime"
Emalõvi,0.0,0 a 10,Liina Trishkina-Vanhatalo,"Drama, Thriller"
Emancipation: Uma História de Liberdade,7.826,0 a 10,Antoine Fuqua,"Drama, Guerra, História"
