id,titulo,nota,tipo de nota,diretor,generos
1304,Imaculada,6.308,0 a 10,Michael Mohan,"Terror, Mistério, Thriller"
1305,Mad Max: Estrada da Fúria,7.613,0 a 10,George Miller,"Ação, Aventura, Ficção científica"
1306,Encanto,7.601,0 a 10,Byron Howard,"Animação, Comédia, Família, Fantasia"
1307,Abigail,6.8,0 a 10,Matt Bettinelli-Olpin,"Terror, Thriller"
1308,Que a Força Materna Esteja com Você,5.548,0 a 10,David Silverman,"Animação, Comédia"
1309,Pânico na Floresta 2,6.099,0 a 10,Joe Lynch,"Terror, Thriller"
1310,Alien: Covenant,6.138,0 a 10,Ridley Scott,"Ficção científica, Terror, Thriller"
1311,The Flash,6.705,0 a 10,Andy Muschietti,"Ação, Aventura, Ficção científica"
1312,Homem-Aranha 3,6.43,0 a 10,Sam Raimi,"Ação, Aventura, Ficção científica"
1313,Percy Jackson e o Ladrão de Raios,6.214,0 a 10,Chris Columbus,"Aventura, Fantasia, Família"
1314,Transformers: A Era da Extinção,5.939,0 a 10,Michael Bay,"Ficção científica, Ação, Aventura"
1315,Invocação do Mal,7.543,0 a 10,James Wan,"Terror, Thriller"
1316,Beekeeper: Rede de Vingança,7.355,0 a 10,David Ayer,"Crime, Ação, Aventura, Thriller"
1317,A Queda,7.194,0 a 10,Scott Mann,"Thriller, Ação"
1318,Avatar,7.582,0 a 10,James Cameron,"Ação, Aventura, Fantasia, Ficção científica"
1319,Uma Ideia de Você,7.409,0 a 10,Michael Showalter,"Romance, Drama, Comédia"
1320,Shang-Chi e a Lenda dos Dez Anéis,7.549,0 a 10,Destin Daniel Cretton,"Ação, Aventura, Fantasia"
1321,Madame Teia,5.497,0 a 10,S.J. Clarkson,"Ação, Fantasia"
1322,Uma Natureza Violenta,5.7,0 a 10,Chris Nash,"Terror, Thriller"
1323,Rebel Moon - Parte 2: A Marcadora de Cicatrizes,6.128,0 a 10,Zack Snyder,"Ficção científica, Ação"
1324,엄마친구,6.308,0 a 10,Myeong Seok Hwan,"Drama, Romance"
1325,Ruby Marinho - Monstro Adolescente,7.28,0 a 10,Kirk DeMicco,"Animação, Família, Fantasia, Comédia"
1326,A Forja - O Poder da Transformação,6.3,0 a 10,Alex Kendrick,Drama
1327,O Poderoso Chefão: Parte II,8.575,0 a 10,Francis Ford Coppola,"Drama, Crime"
1328,Fúria Primitiva,6.988,0 a 10,Dev Patel,"Ação, Thriller"
1329,A Viagem de Chihiro,8.537,0 a 10,Hayao Miyazaki,"Animação, Família, Fantasia"
1330,Johnny & Clyde - Parceiros no Crime,4.792,0 a 10,Tom DeNucci,"Ação, Thriller, Crime"
1331,Os Mercenários 4,6.204,0 a 10,Scott Waugh,"Ação, Aventura, Thriller"
1332,Toy Story 2,7.597,0 a 10,John Lasseter,"Animação, Comédia, Família"
1333,Lembayung,0.0,0 a 10,Baim Wong,"Terror, Thriller"
1334,O Espetacular Homem-Aranha 2: A Ameaça de Electro,6.511,0 a 10,Marc Webb,"Ação, Aventura, Ficção científica"
1335,超级英雄美猴王：齐天儿,5.354,0 a 10,Ralph Zondag,"Ação, Aventura, Animação, Comédia, Fantasia"
1336,"Tiras, Só Que Não",6.465,0 a 10,Luke Greenfield,Comédia
1337,Aves de Rapina: Arlequina e sua Emancipação Fantabulosa,6.925,0 a 10,Cathy Yan,"Ação, Crime"
1338,O Rei Leão,7.113,0 a 10,Jon Favreau,"Animação, Aventura, Drama, Família"
1339,Hell Hole,5.405,0 a 10,John Adams,"Terror, Ficção científica"
1340,Aquaman 2: O Reino Perdido,6.688,0 a 10,James Wan,"Ação, Aventura, Fantasia"
1341,Matrix Resurrections,6.411,0 a 10,Lana Wachowski,"Ficção científica, Ação, Aventura"
1342,Miraculous World : London,0.0,0 a 10,Thomas Astruc,"Animação, Aventura, Ação"
1343,Lahn Mah,7.838,0 a 10,Pat Boonnitipat,Drama
1344,De Olhos Bem Fechados,7.484,0 a 10,Stanley Kubrick,"Drama, Thriller, Mistério"
1345,A Noite dos Mortos-Vivos,7.613,0 a 10,George A. Romero,"Terror, Thriller"
1346,Invocação do Mal 3: A Ordem do Demônio,7.44,0 a 10,Michael Chaves,"Terror, Mistério, Thriller"
1347,名探偵コナン 黒鉄の魚影（サブマリン）,6.8,0 a 10,Yuzuru Tachikawa,"Animação, Ação, Crime, Mistério"
1348,Até o Último Homem,8.199,0 a 10,Mel Gibson,"Drama, História, Guerra"
1349,Init,5.0,0 a 10,Paul Michael Acero,Drama
1350,A Freira 2,6.775,0 a 10,Michael Chaves,Terror
1351,Toy Story: Um Mundo de Aventuras,7.971,0 a 10,John Lasseter,"Animação, Aventura, Família, Comédia"
1352,Thor: Amor e Trovão,6.447,0 a 10,Taika Waititi,"Fantasia, Ação, Comédia"
1353,Assassino por Acaso,6.931,0 a 10,Richard Linklater,"Crime, Comédia, Romance"
1354,A Menina do Mar,7.067,0 a 10,Christian Sparkes,"Thriller, Mistério, Fantasia"
1355,Baki Hanma x Kengan Ashura,7.851,0 a 10,Toshiki Hirano,"Animação, Ação"
1356,O Exterminador do Futuro: Destino Sombrio,6.445,0 a 10,Tim Miller,"Ficção científica, Ação, Aventura"
1357,Homem de Ferro,7.646,0 a 10,Jon Favreau,"Ação, Ficção científica, Aventura"
1358,O Menino e a Garça,7.505,0 a 10,Hayao Miyazaki,"Animação, Aventura, Fantasia, Família"
1359,Bad Boys Para Sempre,7.139,0 a 10,Bilall Fallah,"Thriller, Ação, Crime"
1360,Megatubarão 2,6.505,0 a 10,Ben Wheatley,"Ação, Ficção científica, Terror"
1361,MR-9: Missão Mortal,6.5,0 a 10,Asif Akbar,"Ação, Drama, Thriller"
1362,O Exorcista do Papa,6.997,0 a 10,Julius Avery,"Terror, Thriller"
1363,Outra Chance para o Amor,6.3,0 a 10,Tyler Russell,"Romance, Drama"
1364,M – La Última Esperanza,7.417,0 a 10,Vardan Tozija,"Aventura, Drama, Ficção científica"
1365,A Academia do Sr. Kleks,6.3,0 a 10,Maciej Kawulski,"Fantasia, Aventura, Família"
1366,Horizon: Uma Saga Americana - Capítulo 1,7.006,0 a 10,Kevin Costner,"Faroeste, Drama"
1367,The Well,5.905,0 a 10,Federico Zampaglione,Terror
1368,Five Nights at Freddy's - O Pesadelo Sem Fim,7.569,0 a 10,Emma Tammi,"Terror, Mistério"
1369,O Diabo Veste Prada,7.396,0 a 10,David Frankel,"Drama, Comédia"
1370,Frozen: Uma Aventura Congelante,7.245,0 a 10,Jennifer Lee,"Animação, Família, Aventura, Fantasia"
1371,Monstros S.A.,7.846,0 a 10,Pete Docter,"Animação, Comédia, Família"
1372,A Fera Interior,6.051,0 a 10,Alexander J. Farrell,"Terror, Drama, Thriller"
1373,We Are Zombies,5.9,0 a 10,Yoann-Karl Whissell,"Terror, Comédia, Thriller"
1374,Fale Comigo,7.154,0 a 10,Danny Philippou,Terror
1375,Pulp Fiction: Tempo de Violência,8.488,0 a 10,Quentin Tarantino,"Thriller, Crime"
1376,O Quinto Elemento,7.551,0 a 10,Luc Besson,"Aventura, Fantasia, Ação, Thriller, Ficção científica"
1377,Black Noise,5.4,0 a 10,Philippe Martinez,"Ação, Ficção científica, Terror, Thriller"
1378,Enrolados,7.608,0 a 10,Byron Howard,"Animação, Família"
1379,O Fabricante de Lágrimas,6.526,0 a 10,Alessandro Genovesi,"Romance, Drama"
1380,Dìdi (弟弟),7.2,0 a 10,Sean Wang,"Comédia, Drama"
1381,Liga da Justiça,6.083,0 a 10,Zack Snyder,"Ação, Aventura, Ficção científica"
1382,Missão Suicida,5.6,0 a 10,Jesse V. Johnson,"Ação, Thriller"
1383,American Pie Apresenta: Meninas ao Ataque,6.141,0 a 10,Mike Elliott,Comédia
1384,Rosalie,6.3,0 a 10,Stéphanie Di Giusto,"Drama, Romance"
1385,Below Her Mouth,6.821,0 a 10,April Mullen,"Drama, Romance"
1386,One Piece: Red,7.207,0 a 10,Goro Taniguchi,"Animação, Aventura, Ação, Fantasia, Música"
1387,Shrek 2,7.278,0 a 10,Andrew Adamson,"Animação, Família, Comédia, Fantasia, Aventura, Romance"
1388,Mufasa: O Rei Leão,0.0,0 a 10,Barry Jenkins,"Aventura, Família, Drama"
1389,Alerta de Risco,5.832,0 a 10,Mouly Surya,Ação
1390,A Hora do Pesadelo 2: A Vingança de Freddy,5.8,0 a 10,Jack Sholder,Terror
1391,Gigantes de Aço,7.025,0 a 10,Shawn Levy,"Ação, Ficção científica, Drama"
1392,Liga da Justiça: Crise nas Infinitas Terras - Parte Um,7.627,0 a 10,Jeff Wamester,"Animação, Ficção científica, Ação"
1393,Piratas do Caribe: No Fim do Mundo,7.258,0 a 10,Gore Verbinski,"Aventura, Fantasia, Ação"
1394,Crepúsculo,6.29,0 a 10,Catherine Hardwicke,"Fantasia, Drama, Romance"
1395,Before Dawn,6.389,0 a 10,Jordon Prince-Wright,"Guerra, Drama, História"
1396,Amigos Sem Compromisso,5.333,0 a 10,Rafael Gomes,"Comédia, Romance"
1397,Não Solte!,0.0,0 a 10,Alexandre Aja,"Terror, Thriller"
1398,Invasão Zumbi,7.753,0 a 10,Yeon Sang-ho,"Terror, Thriller, Ação, Aventura"
1399,Hotel Transilvânia: Transformonstrão,7.081,0 a 10,Derek Drymon,"Animação, Comédia, Família, Aventura, Fantasia"
1400,Un métier sérieux,6.365,0 a 10,Thomas Lilti,"Comédia, Drama"
1401,Meu Malvado Favorito 3,6.469,0 a 10,Kyle Balda,"Ação, Animação, Comédia, Família, Aventura"
1402,Afraid,5.644,0 a 10,Chris Weitz,"Terror, Ficção científica, Thriller"
1403,Alien vs. Predador 2,5.167,0 a 10,Colin Strause,"Fantasia, Ação, Ficção científica, Thriller, Terror"
1404,Velozes & Furiosos: Hobbs & Shaw,6.864,0 a 10,David Leitch,"Ação, Aventura, Comédia"
1405,Apocalypto,7.582,0 a 10,Mel Gibson,"Ação, Drama, História"
1406,Maze Runner: A Cura Mortal,7.106,0 a 10,Wes Ball,"Ficção científica, Ação, Aventura, Thriller"
1407,Donzela,7.073,0 a 10,Juan Carlos Fresnadillo,"Fantasia, Ação, Aventura"
1408,Setor 36,7.528,0 a 10,Aditya Nimbalkar,"Crime, Thriller, Drama"
1409,Piratas do Caribe: A Vingança de Salazar,6.654,0 a 10,Espen Sandberg,"Aventura, Ação, Fantasia"
1410,Thor: O Mundo Sombrio,6.525,0 a 10,Alan Taylor,"Ação, Aventura, Fantasia"
1411,Garota do Século 20,8.156,0 a 10,Bang Woo-ri,"Romance, Drama"
1412,O Esquadrão Suicida,7.512,0 a 10,James Gunn,"Ação, Comédia, Aventura"
1413,A Herança de Mr. Deeds,5.861,0 a 10,Steven Brill,"Comédia, Romance"
1414,Missão: Impossível - Protocolo Fantasma,7.089,0 a 10,Brad Bird,"Ação, Thriller, Aventura"
1415,Guerra nas Estrelas,8.204,0 a 10,George Lucas,"Aventura, Ação, Ficção científica"
1416,Esqueceram de Mim 2: Perdido em Nova York,6.743,0 a 10,Chris Columbus,"Comédia, Família, Aventura"
1417,Your Name.,8.487,0 a 10,Makoto Shinkai,"Animação, Romance, Drama"
1418,Bienvenidos al paraíso,0.0,0 a 10,Ani Alva Helfer,"Comédia, Romance"
1419,Bienvenidos al paraíso,0.0,0 a 10,Ani Alva Helfer,"Comédia, Romance"
1420,O Mal que Nos Habita,7.376,0 a 10,Demián Rugna,"Terror, Thriller"
1421,Heavenly Touch,5.974,0 a 10,Joel Lamangan,"Drama, Romance"
1422,O Massacre da Serra Elétrica 3D: A Lenda Continua,5.472,0 a 10,John Luessenhop,"Terror, Thriller"
1423,Clube dos Vândalos,6.885,0 a 10,Jeff Nichols,"Crime, Drama"
1424,Planeta dos Macacos: A Guerra,7.205,0 a 10,Matt Reeves,"Drama, Ficção científica, Guerra"
1425,Loud House: Sem Tempo Para Espionar,6.727,0 a 10,Kyle Marshall,"Animação, Ação, Aventura, Comédia, Família"
1426,Legalmente Loira 2,5.659,0 a 10,Charles Herman-Wurmfeld,"Comédia, Romance"
1427,Armadilha em Alto Mar,6.722,0 a 10,Phil Volken,"Thriller, Terror"
1428,Um Filme Minecraft,0.0,0 a 10,Jared Hess,"Aventura, Fantasia, Família, Ação"
1429,Macaco vs. Máquina,5.8,0 a 10,Marc Gottlieb,"Ação, Ficção científica"
1430,Assassinos da Lua das Flores,7.452,0 a 10,Martin Scorsese,"Crime, História, Drama"
1431,Jogos Vorazes: A Esperança - Parte 1,6.811,0 a 10,Francis Lawrence,"Ficção científica, Aventura, Thriller"
1432,"Se Beber, Não Case!",7.323,0 a 10,Todd Phillips,Comédia
1433,Deliver Us,5.673,0 a 10,Lee Roy Kunz,Terror
1434,Red: Crescer é Uma Fera,7.373,0 a 10,Domee Shi,"Animação, Família, Comédia, Fantasia"
1435,Criação dos Deuses I: Reino das Tempestades,7.103,0 a 10,Wuershan,"Ação, Fantasia, Guerra"
1436,Bastardos Inglórios,8.219,0 a 10,Quentin Tarantino,"Drama, Thriller, Guerra"
1437,Shrek Para Sempre: O Capítulo Final,6.379,0 a 10,Mike Mitchell,"Comédia, Aventura, Fantasia, Animação, Família"
1438,Ghostbusters: Apocalipse de Gelo,6.6,0 a 10,Gil Kenan,"Fantasia, Aventura, Comédia"
1439,O Mágico de Oz,7.588,0 a 10,Victor Fleming,"Aventura, Fantasia, Família"
1440,Forrest Gump: O Contador de Histórias,8.474,0 a 10,Robert Zemeckis,"Comédia, Drama, Romance"
1441,A Pequena Sereia,6.359,0 a 10,Rob Marshall,"Aventura, Família, Fantasia, Romance"
1442,La Familia del Barrio: La Película,7.985,0 a 10,Rhajov Villafuerte,"Comédia, Animação"
1443,동창회의 목적,5.2,0 a 10,Jung Dae-man,"Romance, Drama"
1444,Todo Mundo em Pânico 5,4.798,0 a 10,Malcolm D. Lee,Comédia
1445,Contra o Mundo,6.869,0 a 10,Moritz Mohr,"Crime, Thriller, Ação"
1446,Ratatouille,7.824,0 a 10,Brad Bird,"Animação, Comédia, Família, Fantasia"
1447,団鬼六　修道女縄地獄,5.441,0 a 10,Katsuhiko Fujii,"Drama, Terror"
1448,The Last Kumite,6.8,0 a 10,Ross W. Clarkson,Ação
1449,Malèna,7.42,0 a 10,Giuseppe Tornatore,Drama
1450,Missão: Impossível - Efeito Fallout,7.431,0 a 10,Christopher McQuarrie,"Ação, Aventura"
1451,Jogador N° 1,7.599,0 a 10,Steven Spielberg,"Aventura, Ação, Ficção científica"
1452,O Predador: A Caçada,7.715,0 a 10,Dan Trachtenberg,"Thriller, Ação, Ficção científica"
1453,O Bordel de Paprika,6.957,0 a 10,Tinto Brass,"Drama, Romance"
1454,Cinquenta Tons Mais Escuros,6.49,0 a 10,James Foley,"Drama, Romance"
1455,Kraven: O Caçador,0.0,0 a 10,J.C. Chandor,"Ação, Aventura, Thriller"
1456,O Espetacular Homem-Aranha,6.706,0 a 10,Marc Webb,"Ação, Aventura, Ficção científica"
1457,As Tartarugas Ninja: Caos Mutante,7.251,0 a 10,Jeff Rowe,"Animação, Comédia, Ação, Ficção científica"
1458,Liga da Justiça: Crise nas Infinitas Terras - Parte Dois,7.012,0 a 10,Jeff Wamester,"Animação, Ficção científica, Ação"
1459,Liga da Justiça: Crise nas Infinitas Terras - Parte Dois,7.012,0 a 10,Jeff Wamester,"Animação, Ficção científica, Ação"
1460,Invasão ao Serviço Secreto,6.588,0 a 10,Ric Roman Waugh,"Ação, Thriller"
1461,Lobos,8.0,0 a 10,Jon Watts,"Crime, Comédia, Thriller"
1462,O Protetor,7.278,0 a 10,Antoine Fuqua,"Thriller, Ação, Crime"
1463,Toy Story 3,7.799,0 a 10,Lee Unkrich,"Animação, Família, Comédia"
1464,Jogos Vorazes: A Cantiga dos Pássaros e das Serpentes,7.091,0 a 10,Francis Lawrence,"Drama, Ficção científica, Ação"
1465,God of Pain,6.5,0 a 10,JD Allen,"Terror, Ficção científica, Thriller"
1466,Pânico na Floresta 3,5.665,0 a 10,Declan O'Brien,"Terror, Thriller"
1467,Cinderela,6.817,0 a 10,Kenneth Branagh,"Romance, Fantasia, Família, Drama"
1468,Procurando Nemo,7.82,0 a 10,Andrew Stanton,"Animação, Família"
1469,A Morte do Demônio: A Ascensão,6.961,0 a 10,Lee Cronin,"Terror, Thriller"
1470,Resgate em Amsterdã,6.572,0 a 10,Todor Chapkanov,"Ação, Crime, Mistério, Thriller"
1471,X-Men: Dias de um Futuro Esquecido,7.533,0 a 10,Bryan Singer,"Ação, Aventura, Ficção científica"
1472,Homem-Aranha,7.3,0 a 10,Sam Raimi,"Ação, Ficção científica"
1473,공즉시색,5.6,0 a 10,Kim Hyeon-Bin,"Comédia, Romance"
1474,Lobisomem na Noite,6.983,0 a 10,Michael Giacchino,"Ação, Fantasia, Terror"
1475,Gente Grande 2,6.141,0 a 10,Dennis Dugan,Comédia
1476,Shrek Terceiro,6.298,0 a 10,Chris Miller,"Fantasia, Aventura, Animação, Comédia, Família"
1477,遊☆戯☆王,7.112,0 a 10,Junji Shimizu,"Aventura, Animação, Fantasia"
1478,Olhos Famintos 2,6.136,0 a 10,Victor Salva,"Terror, Thriller"
1479,2001: Uma Odisseia no Espaço,8.072,0 a 10,Stanley Kubrick,"Ficção científica, Mistério, Aventura"
1480,Titane,6.39,0 a 10,Julia Ducournau,"Drama, Thriller, Terror"
1481,Ultraman: A Ascensão,8.37,0 a 10,Shannon Tindle,"Animação, Ficção científica, Família, Ação"
1482,Trolls 3: Juntos Novamente,7.3,0 a 10,Walt Dohrn,"Animação, Família, Música, Fantasia, Comédia"
1483,Salitan,1.0,0 a 10,Bobby Bonifacio,"Drama, Romance"
1484,El candidato honesto,5.1,0 a 10,Pipe Ybarra,Comédia
1485,A Paixão de Cristo,7.503,0 a 10,Mel Gibson,Drama
1486,O Protetor: Capítulo Final,7.332,0 a 10,Antoine Fuqua,"Ação, Thriller, Crime"
1487,Jumanji: Bem-Vindo à Selva,6.826,0 a 10,Jake Kasdan,"Aventura, Comédia, Fantasia"
1488,Pânico na Floresta 5,5.413,0 a 10,Declan O'Brien,"Terror, Thriller"
1489,Hellboy e o Homem Torto,5.4,0 a 10,Brian Taylor,"Terror, Ação, Aventura"
1490,Animais Fantásticos: Os Segredos de Dumbledore,6.662,0 a 10,David Yates,"Fantasia, Aventura"
1491,Pobres Criaturas,7.8,0 a 10,Yorgos Lanthimos,"Ficção científica, Romance, Comédia"
1492,Depois do Fim do Mundo,5.013,0 a 10,Richard Lowry,"Ficção científica, Ação"
1493,Leo,7.474,0 a 10,Robert Smigel,"Animação, Comédia, Família"
1494,金瓶風月,6.18,0 a 10,Li Han-Hsiang,"Drama, Romance"
1495,365 Dias Finais,6.418,0 a 10,Tomasz Mandes,"Romance, Drama"
1496,Como Eu Era Antes de Você,7.931,0 a 10,Thea Sharrock,"Drama, Romance"
1497,我為卿狂,4.667,0 a 10,Ho Fan,"Romance, Drama"
1498,Thor,6.769,0 a 10,Kenneth Branagh,"Aventura, Fantasia, Ação"
1499,Thor,6.769,0 a 10,Kenneth Branagh,"Aventura, Fantasia, Ação"
1500,禁じられた遊び,5.614,0 a 10,Hideo Nakata,"Terror, Thriller"
1501,A Saga Crepúsculo: Lua Nova,5.995,0 a 10,Chris Weitz,"Aventura, Fantasia, Drama, Romance"
1502,O Pacto,7.763,0 a 10,Guy Ritchie,"Guerra, Ação, Thriller"
1503,Guardiões da Galáxia - Vol. 2,7.619,0 a 10,James Gunn,"Ficção científica, Aventura, Ação"
1504,Invocação do Mal 2,7.297,0 a 10,James Wan,Terror
1505,O Exterminador do Futuro 3: A Rebelião das Máquinas,6.167,0 a 10,Jonathan Mostow,"Ação, Thriller, Ficção científica"
1506,O Show de Truman: O Show da Vida,8.143,0 a 10,Peter Weir,"Comédia, Drama"
1507,Patrulha Canina: Um Filme Superpoderoso,7.075,0 a 10,Cal Brunker,"Animação, Família, Ação, Ficção científica, Comédia, Drama, Aventura"
1508,A Era do Gelo,7.361,0 a 10,Chris Wedge,"Animação, Comédia, Família, Aventura"
1509,ヴァッサロード,5.5,0 a 10,Kazuto Nakazawa,"Animação, Ação, Mistério, Fantasia, Comédia, Drama, Terror"
1510,A Fantástica Fábrica de Chocolate,7.052,0 a 10,Tim Burton,"Aventura, Comédia, Família, Fantasia"
1511,Demi Lovato Apresenta: Estrela Mirim,10.0,0 a 10,Demi Lovato,Documentário
1512,Irmãs de Sorte,5.5,0 a 10,Fabiana Tiscornia,"Comédia, Drama"
1513,Pânico na Floresta: A Fundação,5.968,0 a 10,Mike P. Nelson,"Terror, Thriller"
1514,Como Treinar o Seu Dragão,7.829,0 a 10,Dean DeBlois,"Fantasia, Aventura, Animação, Família"
1515,A Origem,8.369,0 a 10,Christopher Nolan,"Ação, Ficção científica, Aventura"
1516,외계+인 2부,6.552,0 a 10,Choi Dong-hoon,"Ficção científica, Ação, Fantasia, Aventura"
1517,WALL-E,8.091,0 a 10,Andrew Stanton,"Animação, Família, Ficção científica"
1518,异兽战场,6.64,0 a 10,Xu Shixing,Ficção científica
1519,Dange,5.7,0 a 10,Bejoy Nambiar,"Ação, Drama, Thriller"
1520,Proposta Indecente,6.345,0 a 10,Adrian Lyne,"Romance, Drama"
1521,A Guerra do Amanhã,7.535,0 a 10,Chris McKay,"Ação, Ficção científica, Aventura"
1522,Tomorrowland: Um Lugar Onde Nada é Impossível,6.277,0 a 10,Brad Bird,"Aventura, Família, Mistério, Ficção científica"
1523,Sisu: Uma História de Determinação,7.457,0 a 10,Jalmari Helander,"Ação, Guerra, Aventura"
1524,Como Treinar o Seu Dragão 3,7.753,0 a 10,Dean DeBlois,"Animação, Família, Aventura"
1525,A Proposta,7.149,0 a 10,Anne Fletcher,"Comédia, Romance, Drama"
1526,Exhuma,7.655,0 a 10,Jang Jae-hyun,"Mistério, Terror, Thriller"
1527,Valerian e a Cidade dos Mil Planetas,6.634,0 a 10,Luc Besson,"Aventura, Ficção científica, Ação"
1528,King's Man: A Origem,6.757,0 a 10,Matthew Vaughn,"Ação, Comédia, Aventura, Thriller"
1529,Cemitério,5.426,0 a 10,Asif Akbar,"Ação, Thriller"
1530,Tumbbad,7.494,0 a 10,Rahi Anil Barve,"Fantasia, Terror"
1531,Ted 2,6.306,0 a 10,Seth MacFarlane,"Comédia, Fantasia"
1532,Vikings: Battle of Heirs,6.134,0 a 10,Robin Keane,Ação
1533,O Apostador,5.991,0 a 10,Rupert Wyatt,"Thriller, Crime, Drama"
1534,Alice no País das Maravilhas,6.639,0 a 10,Tim Burton,"Família, Fantasia, Aventura"
1535,O Amor Sangra,6.548,0 a 10,Rose Glass,"Crime, Romance, Thriller"
1536,Diário de uma Paixão,7.89,0 a 10,Nick Cassavetes,"Romance, Drama"
1537,Hotel Desire,6.0,0 a 10,Sergej Moya,"Drama, Romance"
1538,Círculo de Fogo: A Revolta,6.136,0 a 10,Steven S. DeKnight,"Ação, Fantasia, Ficção científica, Aventura"
1539,Terrifier 2,6.75,0 a 10,Damien Leone,"Terror, Thriller"
1540,Liga da Justiça de Zack Snyder,8.148,0 a 10,Zack Snyder,"Ação, Aventura, Fantasia"
1541,Rivais,7.14,0 a 10,Luca Guadagnino,"Romance, Drama"
1542,Kong: A Ilha da Caveira,6.546,0 a 10,Jordan Vogt-Roberts,"Ação, Aventura, Fantasia"
1543,Um Estranho no Bosque,6.284,0 a 10,Adam Newacheck,"Terror, Thriller"
1544,A Torre do Inferno,4.593,0 a 10,Guillaume Nicloux,"Terror, Fantasia, Drama"
1545,Príncipes Perigosos,6.03,0 a 10,Humberto Hinojosa,"Thriller, Crime, Drama"
1546,Shazam! Fúria dos Deuses,6.534,0 a 10,David F. Sandberg,"Comédia, Ação, Fantasia"
1547,A Nova Onda do Imperador,7.561,0 a 10,Mark Dindal,"Aventura, Animação, Comédia, Família, Fantasia"
1548,A Pequena Sereia,7.354,0 a 10,John Musker,"Animação, Família, Fantasia"
1549,Zootopia: Essa Cidade é o Bicho,7.749,0 a 10,Byron Howard,"Animação, Aventura, Família, Comédia"
1550,"O Gângster, o Policial e o Diabo",7.792,0 a 10,Lee Won-tae,"Crime, Ação, Thriller"
1551,Kelas Bintang - Salome,10.0,0 a 10,Diretor não encontrado,"Drama, Romance"
1552,Maze Runner: Prova de Fogo,6.732,0 a 10,Wes Ball,"Ficção científica, Ação, Thriller, Aventura"
1553,Sri Asih,6.2,0 a 10,Upi Avianto,"Ação, Aventura, Ficção científica, Fantasia, Drama"
1554,Missão: Impossível - Acerto de Contas Parte 2,0.0,0 a 10,Christopher McQuarrie,"Ação, Aventura, Thriller"
1555,15 Cameras,6.1,0 a 10,Danny Madden,"Terror, Thriller"
1556,Pânico na Floresta,6.353,0 a 10,Rob Schmidt,"Terror, Thriller"
1557,Rob Peace,5.778,0 a 10,Chiwetel Ejiofor,"Drama, História"
1558,Gigolô por Acidente,5.972,0 a 10,Mike Mitchell,Comédia
1559,Akuma no Memumemu-chan,0.0,0 a 10,Seiya Numata,Animação
1560,A Família Addams,7.051,0 a 10,Barry Sonnenfeld,"Comédia, Fantasia"
1561,After,7.1,0 a 10,Jenny Gage,"Romance, Drama"
1562,Gente Grande,6.4,0 a 10,Dennis Dugan,Comédia
1563,Napoleão,6.423,0 a 10,Ridley Scott,"História, Guerra, Romance, Drama"
1564,小虎墩大英雄,7.526,0 a 10,Stanley Tsang,"Animação, Aventura, Comédia, Ação, Família"
1565,As Tartarugas Ninja: Fora das Sombras,6.027,0 a 10,Dave Green,"Ação, Aventura, Comédia, Família, Ficção científica"
1566,鴨王,4.8,0 a 10,Amen Au Cheuk-Man,"Romance, Drama, Comédia"
1567,O Predador,7.533,0 a 10,John McTiernan,"Ficção científica, Ação, Aventura, Thriller"
1568,American Pie: A Primeira Vez é Inesquecível,6.585,0 a 10,Paul Weitz,"Comédia, Romance"
1569,The OctoGames,5.389,0 a 10,Aaron Mirtes,"Thriller, Ação, Terror"
1570,As Branquelas,6.954,0 a 10,Keenen Ivory Wayans,"Comédia, Crime"
1571,Porno,4.8,0 a 10,John Doo,"Drama, Terror, Fantasia, Comédia"
1572,Matrix,8.217,0 a 10,Lana Wachowski,"Ação, Ficção científica"
1573,Rascal Does Not Dream of a Knapsack Kid,7.844,0 a 10,Souichi Masui,"Animação, Drama, Fantasia"
1574,Gladiador,8.217,0 a 10,Ridley Scott,"Ação, Drama, Aventura"
1575,おいら女蛮,4.2,0 a 10,Yusaku Saotome,"Animação, Comédia, Ação"
1576,Golden Kamuy,6.66,0 a 10,Shigeaki Kubo,"Ação, Aventura, Comédia"
1577,Constantine,7.093,0 a 10,Francis Lawrence,"Fantasia, Ação, Terror"
1578,Um Lugar Silencioso - Parte II,7.493,0 a 10,John Krasinski,"Ficção científica, Thriller, Terror"
1579,Velozes & Furiosos 7,7.235,0 a 10,James Wan,"Ação, Thriller, Crime"
1580,Através da Minha Janela 3: Olhos nos Olhos,7.0,0 a 10,Marçal Forés,"Romance, Drama, Comédia"
1581,"Pagando Bem, Que Mal Tem?",6.32,0 a 10,Kevin Smith,"Comédia, Romance"
1582,Jujutsu Kaisen 0: O Filme,8.172,0 a 10,Sunghoo Park,"Animação, Ação, Fantasia"
1583,Handling The Undead,6.5,0 a 10,Thea Hvistendahl,"Terror, Drama, Mistério"
1584,Sting: Aranha Assassina,6.313,0 a 10,Kiah Roache-Turner,Terror
1585,Homem-Aranha: Longe de Casa,7.426,0 a 10,Jon Watts,"Ação, Aventura, Ficção científica"
1586,Em Ritmo de Fuga,7.452,0 a 10,Edgar Wright,"Ação, Crime"
1587,Entrevista com o Vampiro,7.388,0 a 10,Neil Jordan,"Terror, Drama, Fantasia"
1588,Edward Mãos de Tesoura,7.7,0 a 10,Tim Burton,"Fantasia, Drama, Romance"
